timestamp_utc,spy_price,five_minute_regime,fifteen_minute_trend,timeframe_match,enhanced_score,regime_score,contract_quality_pass,confidence,minimum_confidence,v12_ready,final_action,paper_only,order_submitted
2026-08-27T22:26:36.539615+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T00:45:15.567564+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T00:49:41.551817+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T00:54:26.048837+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T00:59:07.930395+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T01:05:46.367438+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T01:12:36.412768+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-28T16:47:06.998435+00:00,770.34,DOWNTREND,BEARISH,False,2,2,False,0,75,False,NO TRADE,True,False
2026-08-28T16:51:10.669189+00:00,770.27,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T16:54:08.607756+00:00,770.2,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T16:57:23.562245+00:00,769.86,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:00:45.620760+00:00,769.7,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:03:59.972239+00:00,769.0,DOWNTREND,BEARISH,False,2,2,False,0,75,False,NO TRADE,True,False
2026-08-28T17:07:00.427657+00:00,768.9,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:09:54.498200+00:00,768.78,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:13:44.342377+00:00,769.06,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:16:39.834272+00:00,769.13,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:21:47.568042+00:00,769.0,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:24:34.921407+00:00,768.66,DOWNTREND,BEARISH,True,3,3,True,75,75,False,BEARISH,True,False
2026-08-28T17:28:51.226338+00:00,768.99,DOWNTREND,BEARISH,True,3,2,True,50,75,False,BEARISH,True,False
2026-08-28T17:39:28.659227+00:00,769.12,DOWNTREND,BEARISH,True,3,2,True,50,75,False,BEARISH,True,False
2026-08-28T17:44:33.431508+00:00,768.92,DOWNTREND,BEARISH,True,3,2,True,50,75,False,BEARISH,True,False
2026-08-28T17:48:55.761476+00:00,769.3,DOWNTREND,BEARISH,False,2,1,False,0,75,False,NO TRADE,True,False
2026-08-28T17:53:44.650500+00:00,769.67,CHOPPY,BEARISH,False,2,1,False,0,75,False,NO TRADE,True,False
2026-08-28T17:58:37.783080+00:00,769.25,CHOPPY,BEARISH,True,3,1,True,50,75,False,BEARISH,True,False
2026-08-28T18:20:37.130928+00:00,769.4,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:23:56.095150+00:00,769.34,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:27:57.820919+00:00,769.18,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:31:41.031536+00:00,769.09,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:34:56.798205+00:00,769.18,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:39:45.396797+00:00,769.21,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:43:59.985856+00:00,769.12,DOWNTREND,BEARISH,True,2,2,True,50,75,False,BEARISH,True,False
2026-08-28T18:48:38.850726+00:00,769.13,DOWNTREND,BEARISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-28T18:53:15.669644+00:00,768.37,DOWNTREND,BEARISH,True,2,2,True,50,75,False,BEARISH,True,False
2026-08-28T19:51:22.614082+00:00,769.74,UPTREND,BEARISH,False,3,2,True,25,75,False,BULLISH,True,False
