timestamp_utc,blocker
2026-08-27T21:52:35.079251+00:00,Session timing failed
2026-08-27T21:55:00.711494+00:00,Base signal did not qualify
2026-08-27T21:55:00.711497+00:00,Risk gate failed
2026-08-27T21:55:00.711498+00:00,Contract quality failed
2026-08-27T21:55:00.711499+00:00,15-minute trend mismatch
2026-08-27T21:55:00.711500+00:00,1-hour trend mismatch
2026-08-27T21:55:00.711501+00:00,Signal persistence failed
2026-08-27T21:55:00.711502+00:00,Market regime confirmation failed
2026-08-27T21:55:00.711503+00:00,Session timing failed
2026-08-27T22:04:11.931596+00:00,Base signal did not qualify
2026-08-27T22:04:11.931599+00:00,Risk gate failed
2026-08-27T22:04:11.931600+00:00,Contract quality failed
2026-08-27T22:04:11.931601+00:00,15-minute trend mismatch
2026-08-27T22:04:11.931602+00:00,1-hour trend mismatch
2026-08-27T22:04:11.931603+00:00,Signal persistence failed
2026-08-27T22:04:11.931604+00:00,Market regime confirmation failed
2026-08-27T22:04:11.931605+00:00,Session timing failed
2026-08-27T22:26:36.578587+00:00,Base signal did not qualify
2026-08-27T22:26:36.578591+00:00,Risk gate failed
2026-08-27T22:26:36.578593+00:00,Contract quality failed
2026-08-27T22:26:36.578594+00:00,15-minute trend mismatch
2026-08-27T22:26:36.578595+00:00,1-hour trend mismatch
2026-08-27T22:26:36.578596+00:00,Signal persistence failed
2026-08-27T22:26:36.578597+00:00,Market regime confirmation failed
2026-08-27T22:26:36.578598+00:00,Session timing failed
2026-08-28T00:45:15.605351+00:00,Base signal did not qualify
2026-08-28T00:45:15.605354+00:00,Risk gate failed
2026-08-28T00:45:15.605355+00:00,Contract quality failed
2026-08-28T00:45:15.605356+00:00,15-minute trend mismatch
2026-08-28T00:45:15.605357+00:00,1-hour trend mismatch
2026-08-28T00:45:15.605358+00:00,Signal persistence failed
2026-08-28T00:45:15.605359+00:00,Market regime confirmation failed
2026-08-28T00:45:15.605360+00:00,Session timing failed
2026-08-28T00:49:41.588926+00:00,Base signal did not qualify
2026-08-28T00:49:41.588929+00:00,Risk gate failed
2026-08-28T00:49:41.588930+00:00,Contract quality failed
2026-08-28T00:49:41.588932+00:00,15-minute trend mismatch
2026-08-28T00:49:41.588932+00:00,1-hour trend mismatch
2026-08-28T00:49:41.588957+00:00,Signal persistence failed
2026-08-28T00:49:41.588961+00:00,Market regime confirmation failed
2026-08-28T00:49:41.588963+00:00,Session timing failed
2026-08-28T00:54:26.086556+00:00,Base signal did not qualify
2026-08-28T00:54:26.086561+00:00,Risk gate failed
2026-08-28T00:54:26.086562+00:00,Contract quality failed
2026-08-28T00:54:26.086563+00:00,15-minute trend mismatch
2026-08-28T00:54:26.086564+00:00,1-hour trend mismatch
2026-08-28T00:54:26.086565+00:00,Signal persistence failed
2026-08-28T00:54:26.086566+00:00,Market regime confirmation failed
2026-08-28T00:54:26.086567+00:00,Session timing failed
2026-08-28T00:59:07.967651+00:00,Base signal did not qualify
2026-08-28T00:59:07.967654+00:00,Risk gate failed
2026-08-28T00:59:07.967656+00:00,Contract quality failed
2026-08-28T00:59:07.967656+00:00,15-minute trend mismatch
2026-08-28T00:59:07.967657+00:00,1-hour trend mismatch
2026-08-28T00:59:07.967658+00:00,Signal persistence failed
2026-08-28T00:59:07.967659+00:00,Market regime confirmation failed
2026-08-28T00:59:07.967660+00:00,Session timing failed
2026-08-28T01:05:46.405013+00:00,Base signal did not qualify
2026-08-28T01:05:46.405017+00:00,Risk gate failed
2026-08-28T01:05:46.405018+00:00,Contract quality failed
2026-08-28T01:05:46.405019+00:00,15-minute trend mismatch
2026-08-28T01:05:46.405020+00:00,1-hour trend mismatch
2026-08-28T01:05:46.405021+00:00,Signal persistence failed
2026-08-28T01:05:46.405021+00:00,Market regime confirmation failed
2026-08-28T01:05:46.405022+00:00,Session timing failed
2026-08-28T01:12:36.447822+00:00,Base signal did not qualify
2026-08-28T01:12:36.447825+00:00,Risk gate failed
2026-08-28T01:12:36.447826+00:00,Contract quality failed
2026-08-28T01:12:36.447827+00:00,15-minute trend mismatch
2026-08-28T01:12:36.447828+00:00,1-hour trend mismatch
2026-08-28T01:12:36.447829+00:00,Signal persistence failed
2026-08-28T01:12:36.447830+00:00,Market regime confirmation failed
2026-08-28T01:12:36.447831+00:00,Session timing failed
2026-08-28T16:47:07.029729+00:00,Base signal did not qualify
2026-08-28T16:47:07.029731+00:00,Risk gate failed
2026-08-28T16:47:07.029732+00:00,Contract quality failed
2026-08-28T16:47:07.029733+00:00,15-minute trend mismatch
2026-08-28T16:47:07.029734+00:00,1-hour trend mismatch
2026-08-28T16:47:07.029735+00:00,Signal persistence failed
2026-08-28T16:47:07.029736+00:00,Market regime confirmation failed
2026-08-28T16:51:10.700336+00:00,1-hour trend mismatch
2026-08-28T16:54:08.648377+00:00,1-hour trend mismatch
2026-08-28T16:57:23.594403+00:00,1-hour trend mismatch
2026-08-28T17:00:45.658573+00:00,1-hour trend mismatch
2026-08-28T17:03:59.999002+00:00,Base signal did not qualify
2026-08-28T17:03:59.999004+00:00,Risk gate failed
2026-08-28T17:03:59.999005+00:00,Contract quality failed
2026-08-28T17:03:59.999006+00:00,15-minute trend mismatch
2026-08-28T17:03:59.999007+00:00,1-hour trend mismatch
2026-08-28T17:03:59.999008+00:00,Signal persistence failed
2026-08-28T17:03:59.999008+00:00,Market regime confirmation failed
2026-08-28T17:07:00.460117+00:00,1-hour trend mismatch
2026-08-28T17:09:54.535519+00:00,1-hour trend mismatch
2026-08-28T17:13:44.381942+00:00,1-hour trend mismatch
2026-08-28T17:16:39.870619+00:00,1-hour trend mismatch
2026-08-28T17:21:47.602051+00:00,1-hour trend mismatch
2026-08-28T17:24:34.960778+00:00,1-hour trend mismatch
2026-08-28T17:28:51.265662+00:00,1-hour trend mismatch
2026-08-28T17:28:51.265665+00:00,Market regime confirmation failed
2026-08-28T17:39:28.690786+00:00,1-hour trend mismatch
2026-08-28T17:39:28.690789+00:00,Market regime confirmation failed
2026-08-28T17:44:33.461750+00:00,1-hour trend mismatch
2026-08-28T17:44:33.461752+00:00,Market regime confirmation failed
2026-08-28T17:48:55.794095+00:00,Base signal did not qualify
2026-08-28T17:48:55.794098+00:00,Risk gate failed
2026-08-28T17:48:55.794099+00:00,Contract quality failed
2026-08-28T17:48:55.794100+00:00,15-minute trend mismatch
2026-08-28T17:48:55.794101+00:00,1-hour trend mismatch
2026-08-28T17:48:55.794102+00:00,Signal persistence failed
2026-08-28T17:48:55.794103+00:00,Market regime confirmation failed
2026-08-28T17:53:44.680930+00:00,Base signal did not qualify
2026-08-28T17:53:44.680932+00:00,Risk gate failed
2026-08-28T17:53:44.680933+00:00,Contract quality failed
2026-08-28T17:53:44.680934+00:00,15-minute trend mismatch
2026-08-28T17:53:44.680935+00:00,1-hour trend mismatch
2026-08-28T17:53:44.680935+00:00,Signal persistence failed
2026-08-28T17:53:44.680936+00:00,Market regime confirmation failed
2026-08-28T17:58:37.822916+00:00,1-hour trend mismatch
2026-08-28T17:58:37.822919+00:00,Signal persistence failed
2026-08-28T17:58:37.822920+00:00,Market regime confirmation failed
2026-08-28T18:20:37.168318+00:00,Base signal did not qualify
2026-08-28T18:20:37.168321+00:00,Risk gate failed
2026-08-28T18:20:37.168322+00:00,Contract quality failed
2026-08-28T18:20:37.168323+00:00,15-minute trend mismatch
2026-08-28T18:20:37.168324+00:00,1-hour trend mismatch
2026-08-28T18:20:37.168325+00:00,Signal persistence failed
2026-08-28T18:20:37.168325+00:00,Market regime confirmation failed
2026-08-28T18:23:56.132730+00:00,Base signal did not qualify
2026-08-28T18:23:56.132732+00:00,Risk gate failed
2026-08-28T18:23:56.132734+00:00,Contract quality failed
2026-08-28T18:23:56.132735+00:00,15-minute trend mismatch
2026-08-28T18:23:56.132736+00:00,1-hour trend mismatch
2026-08-28T18:23:56.132736+00:00,Signal persistence failed
2026-08-28T18:23:56.132737+00:00,Market regime confirmation failed
2026-08-28T18:27:57.853329+00:00,Base signal did not qualify
2026-08-28T18:27:57.853332+00:00,Risk gate failed
2026-08-28T18:27:57.853333+00:00,Contract quality failed
2026-08-28T18:27:57.853334+00:00,15-minute trend mismatch
2026-08-28T18:27:57.853334+00:00,1-hour trend mismatch
2026-08-28T18:27:57.853335+00:00,Signal persistence failed
2026-08-28T18:27:57.853336+00:00,Market regime confirmation failed
2026-08-28T18:31:41.068376+00:00,Base signal did not qualify
2026-08-28T18:31:41.068381+00:00,Risk gate failed
2026-08-28T18:31:41.068382+00:00,Contract quality failed
2026-08-28T18:31:41.068383+00:00,15-minute trend mismatch
2026-08-28T18:31:41.068384+00:00,1-hour trend mismatch
2026-08-28T18:31:41.068385+00:00,Signal persistence failed
2026-08-28T18:31:41.068386+00:00,Market regime confirmation failed
2026-08-28T18:34:56.837318+00:00,Base signal did not qualify
2026-08-28T18:34:56.837321+00:00,Risk gate failed
2026-08-28T18:34:56.837322+00:00,Contract quality failed
2026-08-28T18:34:56.837323+00:00,15-minute trend mismatch
2026-08-28T18:34:56.837324+00:00,1-hour trend mismatch
2026-08-28T18:34:56.837325+00:00,Signal persistence failed
2026-08-28T18:34:56.837325+00:00,Market regime confirmation failed
2026-08-28T18:39:45.432854+00:00,Base signal did not qualify
2026-08-28T18:39:45.432857+00:00,Risk gate failed
2026-08-28T18:39:45.432858+00:00,Contract quality failed
2026-08-28T18:39:45.432859+00:00,15-minute trend mismatch
2026-08-28T18:39:45.432860+00:00,1-hour trend mismatch
2026-08-28T18:39:45.432861+00:00,Signal persistence failed
2026-08-28T18:39:45.432862+00:00,Market regime confirmation failed
2026-08-28T18:44:00.026349+00:00,1-hour trend mismatch
2026-08-28T18:44:00.026353+00:00,Market regime confirmation failed
2026-08-28T18:48:38.888512+00:00,Base signal did not qualify
2026-08-28T18:48:38.888515+00:00,Risk gate failed
2026-08-28T18:48:38.888517+00:00,Contract quality failed
2026-08-28T18:48:38.888518+00:00,15-minute trend mismatch
2026-08-28T18:48:38.888519+00:00,1-hour trend mismatch
2026-08-28T18:48:38.888519+00:00,Signal persistence failed
2026-08-28T18:48:38.888520+00:00,Market regime confirmation failed
2026-08-28T18:53:15.710082+00:00,1-hour trend mismatch
2026-08-28T18:53:15.710085+00:00,Market regime confirmation failed
2026-08-28T19:51:22.651994+00:00,15-minute trend mismatch
2026-08-28T19:51:22.651999+00:00,Market regime confirmation failed
2026-08-28T19:51:22.652000+00:00,Session timing failed
