timestamp_utc,spy_price,final_action,confidence,v12_ready,daily_limit_pass,cooldown_pass,master_ready,ticket_status,execution_status,paper_execution_allowed,order_submitted
2026-08-27T22:26:36.572759+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T00:45:15.599518+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T00:49:41.583151+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T00:54:26.080985+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T00:59:07.961888+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T01:05:46.399134+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T01:12:36.442243+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T16:47:07.024290+00:00,770.34,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T16:51:10.695083+00:00,770.27,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T16:54:08.642248+00:00,770.2,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T16:57:23.588424+00:00,769.86,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:00:45.652774+00:00,769.7,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:03:59.994073+00:00,769.0,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:07:00.453656+00:00,768.9,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:09:54.529645+00:00,768.78,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:13:44.376587+00:00,769.06,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:16:39.865095+00:00,769.13,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:21:47.597057+00:00,769.0,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:24:34.955357+00:00,768.66,BEARISH,75,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:28:51.259666+00:00,768.99,BEARISH,50,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:39:28.685314+00:00,769.12,BEARISH,50,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:44:33.456753+00:00,768.92,BEARISH,50,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:48:55.788517+00:00,769.3,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:53:44.675758+00:00,769.67,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T17:58:37.817422+00:00,769.25,BEARISH,50,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:20:37.161603+00:00,769.4,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:23:56.126882+00:00,769.34,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:27:57.847967+00:00,769.18,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:31:41.062639+00:00,769.09,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:34:56.831936+00:00,769.18,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:39:45.427052+00:00,769.21,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:44:00.020348+00:00,769.12,BEARISH,50,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:48:38.882572+00:00,769.13,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T18:53:15.703590+00:00,768.37,BEARISH,50,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-28T19:51:22.646001+00:00,769.74,BULLISH,25,False,True,True,False,BLOCKED,BLOCKED,False,False
