timestamp_utc,spy_price,signal,final_action,confidence,regime,trend15,trend60,quality_score,trade_grade,shadow_ready,v17_ready,paper_execution,live_execution
2026-08-28T17:53:44.679026+00:00,769.67,NO TRADE,NO TRADE,0,CHOPPY,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T17:58:37.820912+00:00,769.25,BEARISH,BEARISH,50,CHOPPY,BEARISH,BULLISH,60,C,False,False,False,False
2026-08-28T18:20:37.166053+00:00,769.4,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:23:56.130548+00:00,769.34,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:27:57.851402+00:00,769.18,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:31:41.066195+00:00,769.09,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:34:56.835644+00:00,769.18,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:39:45.430646+00:00,769.21,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:44:00.024400+00:00,769.12,BEARISH,BEARISH,50,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T18:48:38.886203+00:00,769.13,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T18:53:15.707791+00:00,768.37,BEARISH,BEARISH,50,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T19:51:22.649759+00:00,769.74,BULLISH,BULLISH,25,UPTREND,BEARISH,BULLISH,70,B,False,False,False,False
